state_fips,poly_id,vert_ord,longitude,latitude
27,82,1,-95.1533235325107,49.1931085602899
27,82,2,-95.153424,49.249995
27,82,3,-95.153333,49.305655
27,82,4,-95.153319,49.30772
27,82,5,-95.153331,49.308442
27,82,6,-95.15333,49.309287
27,82,7,-95.153284,49.343409
27,82,8,-95.153344,49.343662
27,82,9,-95.153352451672,49.345102138076
27,82,10,-95.153407,49.354397
27,82,11,-95.15333,49.365886
27,82,12,-95.153259,49.367691
27,82,13,-95.153293,49.369107
27,82,14,-95.15335,49.383079
27,82,15,-95.153314,49.384358
27,82,16,-95.150235,49.382964
27,82,17,-95.149747,49.380565
27,82,18,-95.145306,49.37828
27,82,19,-95.141808,49.378301
27,82,20,-95.126467,49.369439
27,82,21,-95.115866,49.366518
27,82,22,-95.109535,49.366315
27,82,23,-95.1050573333333,49.3649616666667
27,82,24,-95.102818,49.363554
27,82,25,-95.089806,49.361114
27,82,26,-95.058404,49.35317
27,82,27,-95.049382,49.353056
27,82,28,-95.014415,49.356405
27,82,29,-94.988908,49.368897
27,82,30,-94.974286,49.367738
27,82,31,-94.957465,49.370186
27,82,32,-94.952111,49.368679
27,82,33,-94.909273,49.350176
27,82,34,-94.907036,49.348508
27,82,35,-94.878454,49.333193
27,82,36,-94.854245,49.324154
27,82,37,-94.836876,49.324068
27,82,38,-94.816222,49.320987
27,82,39,-94.824291,49.308834
27,82,40,-94.82516,49.294283
27,82,41,-94.797244,49.214284
27,82,42,-94.797527,49.197791
27,82,43,-94.774228,49.124994
27,82,44,-94.773223,49.120733
27,82,45,-94.750221,49.099763
27,82,46,-94.750218,48.999992
27,82,47,-94.718932,48.999991
27,82,48,-94.683069,48.883929
27,82,49,-94.683127,48.883376
27,82,50,-94.68396041259,48.874983
27,82,51,-94.684217,48.872399
27,82,52,-94.692527,48.86895
27,82,53,-94.690302,48.863711
27,82,54,-94.690246,48.863363
27,82,55,-94.693044,48.853392
27,82,56,-94.685681,48.840119
27,82,57,-94.6898705914967,48.8385026884572
27,82,58,-94.697055,48.835731
27,82,59,-94.701968,48.831778
27,82,60,-94.704284,48.824284
27,82,61,-94.694974,48.809206
27,82,62,-94.6958119321937,48.8013080077451
27,82,63,-94.695975,48.799771
27,82,64,-94.6948474938557,48.7927069672173
27,82,65,-94.694312,48.789352
27,82,66,-94.690889,48.778066
27,82,67,-94.690863,48.778047
27,82,68,-94.687951,48.775896
27,82,69,-94.672812,48.769315
27,82,70,-94.66711,48.766115
27,82,71,-94.660063,48.760288
27,82,72,-94.651765,48.755913
27,82,73,-94.645164,48.749975
27,82,74,-94.646256,48.749975
27,82,75,-94.64515,48.748991
27,82,76,-94.645083,48.744143
