huc6_id,huc6_name,poly_id,vert_ord,longitude,latitude,huc6_cname
040500,Southeastern Lake Michigan,68,1,-84.978645,43.383324,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,2,-84.967026,43.374752,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,3,-84.96331,43.373714,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,4,-84.958992,43.372196,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,5,-84.955223,43.372066,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,6,-84.947105,43.370872,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,7,-84.942192,43.368877,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,8,-84.922485,43.36182,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,9,-84.91713,43.357075,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,10,-84.916145,43.352943,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,11,-84.917107,43.347965,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,12,-84.923187,43.341801,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,13,-84.934662,43.330353,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,14,-84.936356,43.314468,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,15,-84.932732,43.312065,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,16,-84.908737,43.303486,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,17,-84.891472,43.297871,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,18,-84.873039,43.290848,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,19,-84.868195,43.287941,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,20,-84.863266,43.286396,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,21,-84.846451,43.283535,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,22,-84.842026,43.283833,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,23,-84.837532,43.285042,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,24,-84.833107,43.285339,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,25,-84.808357,43.288097,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,26,-84.803833,43.289757,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,27,-84.795509,43.29174,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,28,-84.791771,43.291149,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,29,-84.788033,43.290558,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,30,-84.766167,43.287952,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,31,-84.761643,43.289612,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,32,-84.754601,43.29118,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,33,-84.751556,43.2897,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,34,-84.744774,43.287632,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,35,-84.737267,43.286907,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,36,-84.732239,43.28672,Southeastern Lake Michigan
040500,Southeastern Lake Michigan,68,37,-84.727806,43.287014,Southeastern Lake Michigan
