huc6_id,huc6_name,Aridity07,Aridity11,DailyPrcp11,DailyPrcp07,Drought11,Drought07,SeasPrcp11,SeasPrcp07,StressDD11,StressDD07,WarmNight11,WarmNight07
040500,Southeastern Lake Michigan,0.0176723340615285,-0.127897448836169,0.00813008130081301,0.0130081300813008,1,27.5,0.753036437246964,0.661039794608473,0.451522440881054,-0.0769486163523099,0.219512195121951,0.152032520325203
041000,Western Lake Erie,0.0885742654594663,-0.141251613489728,0.016260162601626,0.0130081300813008,6,60,1,0.565853658536585,1.17069334066206,0.194375534740857,0.219512195121951,0.149593495934959
051201,Wabash,0.0770111123892066,-0.0808871252919796,0.016260162601626,0.0113821138211382,19,60,0.926829268292683,0.634146341463415,0.516513666047783,0.0819615527652279,0.203252032520325,0.146341463414634
051202,Patoka-White,0.14578577623359,0.36685541557222,0.00813008130081301,0.0130081300813008,22,107.5,0.975609756097561,0.6,1.2313969567926,0.358514511146133,0.25609756097561,0.164227642276423
070200,Minnesota,-0.086977632932206,-0.268097513358113,0,0.00975609756097561,42,121,0.324324324324324,0.463414634146341,-0.277463512729357,-0.423210245653386,0.16260162601626,0.108943089430894
070400,Upper Mississippi Black Root,-0.237846038046043,0.351613429580384,0,0.0113821138211382,13,160,0.272727272727273,0.526829268292683,0.406701026691996,-0.321445148592178,0.227642276422764,0.123577235772358
070600,Upper Mississippi Maquoketa Plum,-0.543508039450399,0.452691811554638,0.00813008130081301,0.016260162601626,1,2,0.341463414634146,0.751219512195122,0.660492379433553,-0.339032063985376,0.203252032520325,0.11869918699187
070801,Upper Mississippi Skunk Wapsipinicon,-0.528380743790055,0.275223185418082,0.00813008130081301,0.0178861788617886,30,34.5,0.365853658536585,0.731707317073171,0.687977922091927,-0.402286554398902,0.227642276422764,0.133333333333333
070802,Iowa,-0.48362246498847,0.239469418199385,0.00813008130081301,0.0130081300813008,19.5,20.5,0.292682926829268,0.734146341463415,0.328695946140739,-0.573002229802456,0.16260162601626,0.10650406504065
070900,Rock,-0.301537421938539,0.76615980167712,0,0.0146341463414634,5,10,0.207317073170732,0.668292682926829,0.842717032308885,-0.290632987427136,0.203252032520325,0.142276422764228
071000,Des Moines,-0.584257893200648,-0.0473072715493321,0.00813008130081301,0.0146341463414634,36,48,0.378048780487805,0.653658536585366,0.299516110995429,-0.639284695584793,0.199186991869919,0.113821138211382
071200,Upper Illinois,-0.298307279667551,0.36020593344271,0.00813008130081301,0.0130081300813008,1.5,11,0.524390243902439,0.692682926829268,0.715035811607334,-0.194488913219884,0.191056910569106,0.144715447154472
071300,Lower Illinois,-0.130132902055246,0.584318146220616,0.00813008130081301,0.0130081300813008,31,64,0.5,0.64390243902439,0.98137752471682,-0.159686051857336,0.292682926829268,0.167479674796748
071402,Kaskaskia,0.0155366882971494,0.340956936691409,0.00813008130081301,0.00975609756097561,13,60,0.853658536585366,0.663414634146341,1.03018353807651,0.199126559258741,0.24390243902439,0.185365853658537
101702,Big Sioux,-0.526702500816613,-0.445029669365897,0,0.00975609756097561,35,78,0.463414634146341,0.604878048780488,-0.0529465648057383,-0.608045507549496,0.170731707317073,0.113821138211382
102001,Middle Platte,-0.853709157446098,-0.73659648208734,0.00813008130081301,0.0146341463414634,17,40,0.74390243902439,0.81219512195122,-0.519887790926354,-0.886283192460544,0.146341463414634,0.132520325203252
102002,Lower Platte,-0.556033173461523,-0.110256626813983,0,0.0105691056910569,32.5,57,0.597560975609756,0.670731707317073,0.242692299081025,-0.793279521735877,0.231707317073171,0.119512195121951
102100,Loup,-0.847948757571211,-0.663956055990776,0,0.0130081300813008,12,38.5,0.638501742160279,0.758048780487805,-0.328589682229932,-0.872840263571914,0.191056910569106,0.136585365853659
102200,Elkhorn,-0.51923752175033,-0.630481747946078,0.00813008130081301,0.0113821138211382,13,27,0.658536585365854,0.697560975609756,-0.190572343353095,-0.881363013217306,0.195121951219512,0.123577235772358
102300,Missouri-Little Sioux,-0.38855857644039,-0.270772149562936,0.00813008130081301,0.0130081300813008,33,58,0.51219512195122,0.678048780487805,-0.0918075473984031,-0.69061943717106,0.170731707317073,0.0959349593495935
102400,Missouri-Nishnabotna,-0.467611350664354,-0.144937686649794,0.00813008130081301,0.0113821138211382,20,35,0.634146341463415,0.675,0.113272087787388,-0.583414057813457,0.24390243902439,0.134959349593496
102702,Big Blue,-0.508806054772457,-0.105986807034498,0,0.0121951219512195,35.5,61,0.621951219512195,0.634146341463415,0.167927457657554,-0.671355007554026,0.24390243902439,0.130894308943089
